id,name,aliases,latitude,longitude,category_id,category_de,group_id,fame_id,region,description,note,access,quality,quality_label,source,research,photo_page,photo_author,photo_license,photo_license_url,merged_records
0,Preikestolen,,58.986447,6.188663,viewpoint,Aussichtspunkt,mountain,local_tip,Rogaland,Ikonische Felskanzel 604 m über dem Lysefjord.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Norway_Preikestolen_at_fog.JPG,"Luu (talk) 06:13, 5 July 2008 (UTC)",Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1
1,Kjeragbolten,,59.033728,6.593274,viewpoint,Aussichtspunkt,mountain,local_tip,Rogaland,Spektakulärer Findling über dem Lysefjord; nur für trittsichere Wandernde.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Kjeragbolten.jpg,Svein-Magne Tunli,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
2,Himakånå,,59.358149,5.811455,viewpoint,Aussichtspunkt,mountain,discovery,Rogaland,Kompakter Aussichtsgipfel über dem Nedstrandsfjord.,Aufwand: Mittel; beste Zeit: April–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,50,Vor Ort prüfen,https://www.openstreetmap.org/copyright,,,,,,1
3,Månafossen,,58.857836,6.384726,waterfall,Wasserfall,water,local_tip,Rogaland,"Mächtiger Wasserfall, erreichbar über einen kurzen, steilen Pfad.",Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:M%C3%A5nafossen,_Rogaland.jpg",Claudio Bräuer,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
4,Jæren: Orrestranda,,58.724575,5.520492,beach,Strand und Ufer,coast,local_tip,Rogaland,Weiter Sandstrand mit Dünen und offenem Nordseehorizont.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,60,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Tranquility_(29462247).jpeg,Andreas Winter,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,1
5,Trolltunga,,60.132958,6.753998,viewpoint,Aussichtspunkt,mountain,local_tip,Hardanger,Norwegens berühmte Felszunge hoch über dem Ringedalsvatnet.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Trolltunga,_Norway_(Unsplash_asct7UP3YDE).jpg",Julia Caesar juliacaesar,CC0,https://creativecommons.org/publicdomain/zero/1.0/,1
6,Vøringsfossen,,60.427051,7.250881,waterfall,Wasserfall,water,local_tip,Hardanger,Dramatischer Wasserfall mit gut ausgebauten Aussichtsstegen.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:V%C3%B8ringsfossen_-_Eidfjord,_Norway_2021-07-24_(01).jpg",Ryan Hodnett,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
7,Låtefossen,Låtefoss,59.947895,6.58476,waterfall,Wasserfall,water,local_tip,Hardanger,Zwillingswasserfall direkt an der historischen Steinbrücke.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:L%C3%A5tefossen,_Norway_20170524_134232.jpg",dconvertini,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,2
8,Steinsdalsfossen,Steinsdalsfossen – Kvam herad,60.370786,6.10288,waterfall,Wasserfall,water,local_tip,Hardanger,Ein Weg führt sicher hinter den Wasserschleier.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Steinsdalsfossen,_Norheimsund,_Hardanger_-_no-nb_digifoto_20151223_00001_bldsa_FA0288.jpg",Creator:Hans Nicolaysen Meyer,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,2
9,Bondhusvatnet,,60.086893,6.286672,lake,See und Fjellvatn,water,local_tip,Hardanger,Türkisgrüner Gletschersee mit Blick Richtung Folgefonna.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Bondhusvatnet_-_Kvinnherad,_Norway_2021-07-27_(01).jpg",Ryan Hodnett,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
