Name,Breitengrad,Längengrad,Kategorie,Kartengruppe,Region,Bekanntheit,Warum empfehlenswert,Hinweis,Zugangscheck,Google Maps,Quelle,Recherchequelle,Datenquelle,Datenlizenz
Preikestolen,58.986447,6.188663,Wanderung & Aussicht,Natur & besondere Orte,Rogaland,Lokaler Tipp / Empfehlung,Ikonische Felskanzel 604 m über dem Lysefjord.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=58.986447,6.188663",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Kjeragbolten,59.033728,6.593274,Wanderung & Aussicht,Natur & besondere Orte,Rogaland,Lokaler Tipp / Empfehlung,Spektakulärer Findling über dem Lysefjord; nur für trittsichere Wandernde.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=59.033728,6.593274",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Himakånå,59.358149,5.811455,Wanderung & Aussicht,Natur & besondere Orte,Rogaland,Lokaler Tipp / Empfehlung,Kompakter Aussichtsgipfel über dem Nedstrandsfjord.,Aufwand: Mittel; beste Zeit: April–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=59.358149,5.811455",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Månafossen,58.857836,6.384726,Wasserfall,Natur & besondere Orte,Rogaland,Lokaler Tipp / Empfehlung,"Mächtiger Wasserfall, erreichbar über einen kurzen, steilen Pfad.",Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=58.857836,6.384726",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Jæren: Orrestranda,58.724575,5.520492,Strand & Küste,Natur & besondere Orte,Rogaland,Lokaler Tipp / Empfehlung,Weiter Sandstrand mit Dünen und offenem Nordseehorizont.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=58.724575,5.520492",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Trolltunga,60.132958,6.753998,Wanderung & Aussicht,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Norwegens berühmte Felszunge hoch über dem Ringedalsvatnet.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.132958,6.753998",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Vøringsfossen,60.427051,7.250881,Wasserfall,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Dramatischer Wasserfall mit gut ausgebauten Aussichtsstegen.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.427051,7.250881",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Låtefossen,59.947895,6.584760,Wasserfall,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Zwillingswasserfall direkt an der historischen Steinbrücke.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=59.947895,6.584760",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Steinsdalsfossen,60.370786,6.102880,Wasserfall,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Ein Weg führt sicher hinter den Wasserschleier.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.370786,6.102880",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Bondhusvatnet,60.086893,6.286672,See & Tal,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Türkisgrüner Gletschersee mit Blick Richtung Folgefonna.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.086893,6.286672",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
